,feature,score,param
0,x_max,0.68,"{'C': 114.4775669011415, 'kernel': 'rbf', 'gamma': 19.357589832990502, 'degree': 3, 'coef0': 23.147634134595418, 'random_state': 42}"
1,x_min,0.5866666666666667,"{'C': 967.2820868593974, 'kernel': 'sigmoid', 'gamma': 629.630334932246, 'degree': 5, 'coef0': 134.97612705404185, 'random_state': 42}"
2,x_mean,0.7333333333333333,"{'C': 213.0248403302697, 'kernel': 'sigmoid', 'gamma': 817.7545227668231, 'degree': 5, 'coef0': 215.88000237195507, 'random_state': 42}"
3,x_median,0.7066666666666667,"{'C': 175.49964867857315, 'kernel': 'sigmoid', 'gamma': 741.7203545028426, 'degree': 3, 'coef0': 25.286066481495766, 'random_state': 42}"
4,x_variance,0.68,"{'C': 572.1475832613903, 'kernel': 'rbf', 'gamma': 1.206958832152047, 'degree': 2, 'coef0': 531.0048547849915, 'random_state': 42}"
5,x_standard_deviation,0.68,"{'C': 582.7234437013018, 'kernel': 'rbf', 'gamma': 0.29784409945019363, 'degree': 2, 'coef0': 322.9390780929815, 'random_state': 42}"
6,x_1st_percentile,0.6533333333333333,"{'C': 874.6777294310623, 'kernel': 'sigmoid', 'gamma': 612.5283472673211, 'degree': 3, 'coef0': 870.4864455021484, 'random_state': 42}"
7,x_99th_percentile,0.68,"{'C': 940.7034536319435, 'kernel': 'sigmoid', 'gamma': 890.4102877780889, 'degree': 4, 'coef0': 180.1314105028409, 'random_state': 42}"
8,x_displacement_between_99th_percentile_and_1st_percentile,0.7733333333333333,"{'C': 0.3605534629431819, 'kernel': 'sigmoid', 'gamma': 525.6916919963317, 'degree': 1, 'coef0': 218.0629656376233, 'random_state': 42}"
9,x_skewness,0.7733333333333333,"{'C': 136.40745802273733, 'kernel': 'sigmoid', 'gamma': 927.6489180556973, 'degree': 2, 'coef0': 44.370048222331, 'random_state': 42}"
10,x_kurtosis,0.72,"{'C': 598.3633903943385, 'kernel': 'rbf', 'gamma': 28.536127801176967, 'degree': 4, 'coef0': 802.4857146854278, 'random_state': 42}"
11,y_max,0.6666666666666666,"{'C': 121.89796592376858, 'kernel': 'rbf', 'gamma': 531.6703645554112, 'degree': 3, 'coef0': 909.7486044582707, 'random_state': 42}"
12,y_min,0.6533333333333333,"{'C': 595.9450472921476, 'kernel': 'sigmoid', 'gamma': 461.78180282954924, 'degree': 4, 'coef0': 391.1054963170955, 'random_state': 42}"
13,y_mean,0.68,"{'C': 182.62703984826422, 'kernel': 'rbf', 'gamma': 116.49631099151772, 'degree': 3, 'coef0': 738.061903346571, 'random_state': 42}"
14,y_median,0.7066666666666667,"{'C': 240.3296024240382, 'kernel': 'rbf', 'gamma': 69.49777969448061, 'degree': 2, 'coef0': 385.13913267490125, 'random_state': 42}"
15,y_variance,0.8,"{'C': 959.841607421668, 'kernel': 'sigmoid', 'gamma': 127.85080224485709, 'degree': 3, 'coef0': 609.2489649577323, 'random_state': 42}"
16,y_standard_deviation,0.8533333333333334,"{'C': 193.87794957059666, 'kernel': 'sigmoid', 'gamma': 805.8258990020853, 'degree': 5, 'coef0': 454.3130489112345, 'random_state': 42}"
17,y_1st_percentile,0.6266666666666667,"{'C': 851.4236915911231, 'kernel': 'sigmoid', 'gamma': 964.6343817314413, 'degree': 4, 'coef0': 839.3162555066099, 'random_state': 42}"
